FK_STANDORT,DATUM,VELO_IN,VELO_OUT,FUSS_IN,FUSS_OUT,OST,NORD
33,2014-01-01 00:00:00,,,94.0,105.0,2683437,1247199
33,2014-01-01 00:15:00,,,80.0,39.0,2683437,1247199
33,2014-01-01 00:30:00,,,168.0,32.0,2683437,1247199
33,2014-01-01 00:45:00,,,475.0,78.0,2683437,1247199
33,2014-01-01 01:00:00,,,352.0,108.0,2683437,1247199
33,2014-01-01 01:15:00,,,227.0,68.0,2683437,1247199
33,2014-01-01 01:30:00,,,227.0,111.0,2683437,1247199
33,2014-01-01 01:45:00,,,122.0,49.0,2683437,1247199
33,2014-01-01 02:00:00,,,74.0,61.0,2683437,1247199
33,2014-01-01 02:15:00,,,110.0,61.0,2683437,1247199
33,2014-01-01 02:30:00,,,131.0,30.0,2683437,1247199
33,2014-01-01 02:45:00,,,120.0,34.0,2683437,1247199
33,2014-01-01 03:00:00,,,33.0,20.0,2683437,1247199
33,2014-01-01 03:15:00,,,89.0,26.0,2683437,1247199
33,2014-01-01 03:30:00,,,42.0,28.0,2683437,1247199
33,2014-01-01 03:45:00,,,35.0,14.0,2683437,1247199
33,2014-01-01 04:00:00,,,16.0,11.0,2683437,1247199
33,2014-01-01 04:15:00,,,43.0,5.0,2683437,1247199
33,2014-01-01 04:30:00,,,56.0,13.0,2683437,1247199
33,2014-01-01 04:45:00,,,44.0,17.0,2683437,1247199
33,2014-01-01 05:00:00,,,19.0,12.0,2683437,1247199
33,2014-01-01 05:15:00,,,11.0,8.0,2683437,1247199
33,2014-01-01 05:30:00,,,8.0,4.0,2683437,1247199
33,2014-01-01 05:45:00,,,1.0,1.0,2683437,1247199
33,2014-01-01 06:00:00,,,7.0,7.0,2683437,1247199
33,2014-01-01 06:15:00,,,4.0,0.0,2683437,1247199
33,2014-01-01 06:30:00,,,1.0,0.0,2683437,1247199
33,2014-01-01 06:45:00,,,4.0,2.0,2683437,1247199
33,2014-01-01 07:00:00,,,2.0,1.0,2683437,1247199
33,2014-01-01 07:15:00,,,5.0,2.0,2683437,1247199
33,2014-01-01 07:30:00,,,8.0,1.0,2683437,1247199
33,2014-01-01 07:45:00,,,3.0,3.0,2683437,1247199
33,2015-01-01 00:00:00,,,103.0,56.0,2683437,1247199
33,2015-01-01 00:15:00,,,71.0,18.0,2683437,1247199
33,2015-01-01 00:30:00,,,494.0,116.0,2683437,1247199
33,2015-01-01 00:45:00,,,433.0,75.0,2683437,1247199
33,2015-01-01 01:00:00,,,243.0,36.0,2683437,1247199
33,2015-01-01 01:15:00,,,182.0,62.0,2683437,1247199
33,2015-01-01 01:30:00,,,155.0,47.0,2683437,1247199
33,2015-01-01 01:45:00,,,19.0,4.0,2683437,1247199
33,2015-01-01 02:00:00,,,76.0,53.0,2683437,1247199
33,2015-01-01 02:15:00,,,94.0,29.0,2683437,1247199
33,2015-01-01 02:30:00,,,107.0,38.0,2683437,1247199
33,2015-01-01 02:45:00,,,77.0,31.0,2683437,1247199
33,2015-01-01 03:00:00,,,45.0,40.0,2683437,1247199
33,2015-01-01 03:15:00,,,43.0,27.0,2683437,1247199
33,2015-01-01 03:30:00,,,28.0,20.0,2683437,1247199
33,2015-01-01 03:45:00,,,37.0,23.0,2683437,1247199
33,2015-01-01 04:00:00,,,30.0,16.0,2683437,1247199
33,2015-01-01 04:15:00,,,28.0,14.0,2683437,1247199
33,2015-01-01 04:30:00,,,28.0,10.0,2683437,1247199
33,2015-01-01 04:45:00,,,23.0,6.0,2683437,1247199
33,2015-01-01 05:00:00,,,25.0,7.0,2683437,1247199
33,2015-01-01 05:15:00,,,10.0,6.0,2683437,1247199
33,2015-01-01 05:30:00,,,2.0,3.0,2683437,1247199
33,2015-01-01 05:45:00,,,3.0,2.0,2683437,1247199
33,2015-01-01 06:00:00,,,3.0,6.0,2683437,1247199
33,2015-01-01 06:15:00,,,3.0,0.0,2683437,1247199
33,2015-01-01 06:30:00,,,0.0,0.0,2683437,1247199
33,2015-01-01 06:45:00,,,3.0,1.0,2683437,1247199
33,2015-01-01 07:00:00,,,1.0,1.0,2683437,1247199
33,2015-01-01 07:15:00,,,3.0,0.0,2683437,1247199
33,2015-01-01 07:30:00,,,1.0,0.0,2683437,1247199
33,2015-01-01 07:45:00,,,2.0,0.0,2683437,1247199
33,2015-12-31 17:00:00,,,68.0,65.0,2683437,1247199
33,2015-12-31 17:15:00,,,74.0,84.0,2683437,1247199
33,2015-12-31 17:30:00,,,93.0,72.0,2683437,1247199
33,2015-12-31 17:45:00,,,61.0,81.0,2683437,1247199
33,2015-12-31 18:00:00,,,79.0,40.0,2683437,1247199
33,2015-12-31 18:15:00,,,70.0,66.0,2683437,1247199
33,2015-12-31 18:30:00,,,51.0,43.0,2683437,1247199
33,2015-12-31 18:45:00,,,53.0,49.0,2683437,1247199
