_id,FK_STANDORT,DATUM,VELO_IN,VELO_OUT,FUSS_IN,FUSS_OUT,OST,NORD
1,4267,2024-01-01T00:00,0,,,,2683457,1247065
2,4270,2024-01-01T00:00,0,1,,,2684006,1246566
3,2989,2024-01-01T00:00,3,2,,,2682278,1248324
4,5002,2024-01-01T00:00,0,2,,,2682873,1245891
5,4262,2024-01-01T00:00,2,1,,,2682731,1247708
6,4242,2024-01-01T00:00,2,0,,,2682337,1248451
7,2991,2024-01-01T00:00,9,6,,,2682756,1247323
8,4259,2024-01-01T00:00,0,0,,,2682375,1247055
9,3003,2024-01-01T00:00,0,0,,,2679767,1248986
10,4255,2024-01-01T00:00,0,0,,,2682881,1246549
11,3279,2024-01-01T00:00,,,57,75,2683437,1247199
12,1037,2024-01-01T00:00,0,0,,,2681339,1248647
13,3015,2024-01-01T00:00,,,34,27,2683023,1244140
14,3012,2024-01-01T00:00,0,2,,,2682647,1250364
15,732,2024-01-01T00:00,0,0,,,2681319,1248665
16,4266,2024-01-01T00:00,0,0,,,2681301,1247665
17,4249,2024-01-01T00:00,1,1,,,2682296,1248311
18,2986,2024-01-01T00:00,0,0,,,2684578,1251966
19,4269,2024-01-01T00:00,0,0,,,2682227,1244618
20,4263,2024-01-01T00:00,0,0,,,2683404,1251624
21,2997,2024-01-01T00:00,1,0,,,2682933,1248821
22,4257,2024-01-01T00:00,0,0,,,2681857,1251991
23,4246,2024-01-01T00:00,,,2,0,2682147,1249212
24,4258,2024-01-01T00:00,3,,,,2682683,1250569
25,2982,2024-01-01T00:00,0,,,,2683447,1247063
26,4241,2024-01-01T00:00,3,0,,,2682297,1248328
27,2993,2024-01-01T00:00,1,0,,,2683573,1248545
28,4270,2024-01-01T00:15,0,0,,,2684006,1246566
29,4267,2024-01-01T00:15,0,,,,2683457,1247065
30,4266,2024-01-01T00:15,1,2,,,2681301,1247665
31,4262,2024-01-01T00:15,0,4,,,2682731,1247708
32,4249,2024-01-01T00:15,6,0,,,2682296,1248311
33,4255,2024-01-01T00:15,0,0,,,2682881,1246549
34,2986,2024-01-01T00:15,0,0,,,2684578,1251966
35,2991,2024-01-01T00:15,5,9,,,2682756,1247323
36,4269,2024-01-01T00:15,1,0,,,2682227,1244618
37,5002,2024-01-01T00:15,0,0,,,2682873,1245891
38,4263,2024-01-01T00:15,0,0,,,2683404,1251624
39,1037,2024-01-01T00:15,5,2,,,2681339,1248647
40,2997,2024-01-01T00:15,0,0,,,2682933,1248821
41,4259,2024-01-01T00:15,0,1,,,2682375,1247055
42,4257,2024-01-01T00:15,0,0,,,2681857,1251991
43,3015,2024-01-01T00:15,,,45,16,2683023,1244140
