"abkuerzung","bezeichnung","bis","fk_zaehler","id1","richtung_in","richtung_out","von","objectid","korrekturfaktor","geometry"
"VZS_LIMB","Limmatquai --> Bellevue","20190603000000","Y2G14045587","61","Bellevue","---","20140625000000","5","1.4700000000","POINT (2683447 1247062.9)"
"VZS_MUEH","Mühlebachstrasse","20180927000000","Y2G12102806","54","Bellevue","Riesbach","20100923000000","9","1.1900000000","POINT (2684006 1246565.9)"
"VZS_TOED","Tödistrasse","20160726000000","Y2G13124877","58","Seeufer","Hauptbahnhof","20140311000000","11","1.4100000000","POINT (2682881 1246548.9)"
"VZS_LIMC","Limmatquai --> Central","20200626000000","Y2G14045586","62","Central","","20140625000000","26","1.3300000000","POINT (2683457 1247064.9)"
"FZS_INGA","In Gassen","20170830000000","YPH15108550","384","Paradeplatz","Rathaus","20151021000000","37","0.9500000000","POINT (2683267 1247228.9)"
"FZS_QUAN","Quaibrücke Nord (Limmatseite)","20151124000000","U15G3063868","26","Bellevue","Bürkliplatz","20130823000000","41","0.8700000000","POINT (2683403.2 1246821.1)"
"VZS_LIMC","Limmatquai --> Central","20200824000000","ECO14043895","3004","Central","","20200715000000","45","1.3300000000","POINT (2683457.2 1247064.5)"
"FZS_INGA","In Gassen","20150909000000","YPH14106664","63","Paradeplatz","Rathaus","20141107000000","52","0.9500000000","POINT (2683267 1247228.9)"
"FZS_INGA","In Gassen","20141107000000","U15G3063871","31","Paradeplatz","Rathaus","20130711000000","63","0.9500000000","POINT (2683267 1247228.9)"
"FZS_LIMM","Limmatquai","20181001000000","U15G3063873","33","Rathaus","Seeufer","20130711000000","66","1.1100000000","POINT (2683437 1247198.9)"
"FZS_QUAS","Quaibrücke Süd (Seeseite)","20160215000000","U15G3063867","25","Bellevue","Bürkliplatz","20130823000000","70","1.0400000000","POINT (2683407.5 1246794.6)"
"FZS_QUAS","Quaibrücke Süd (Seeseite)","20170313000000","YCH16039437","1365","Bürkliplatz","Bellevue","20161018000000","79","1.0000000000","POINT (2683407.5 1246794.6)"
"VZS_MUEH","Mühlebachstrasse","20231029000000","Y2H18106792","3598","Bellevue","Riesbach","20181031000000","83","1.1900000000","POINT (2684006 1246565.9)"
"VZS_TOED","Tödistrasse","20210220000000","Y2G13124877","1692","Seeufer","Hauptbahnhof","20170522000000","94","1.4100000000","POINT (2682881 1246548.9)"
"VZS_LIMB","Limmatquai --> Bellevue","","Y2H19070585","2982","Bellevue","---","20190810000000","107","1.4700000000","POINT (2683447.2 1247062.6)"
"VZS_MUEH","Mühlebachstrasse","","Y2H18106792","4270","Bellevue","Riesbach","20231221000000","121","1.2400000000","POINT (2684006 1246565.9)"
"VZS_LIMC","Limmatquai --> Central","20230725000000","Y2H20083483","3008","Central","","20200824000000","126","0.5000000000","POINT (2683457 1247064.9)"
"FZS_QUAN","Quaibrücke Nord (Limmatseite)","20170313000000","YCH16121210","1682","Bellevue","Bürkliplatz","20170113000000","129","1.0000000000","POINT (2683403.2 1246821.1)"
"FZS_LIMM","Limmatquai","","YSH18065716","3279","Rathaus","Seeufer","20181001000000","142","1.1100000000","POINT (2683437 1247198.9)"
"VZS_TOED","Tödistrasse","","Y2H22063445","4255","Seeufer","Hauptbahnhof","20221203000000","169","1.4100000000","POINT (2682881 1246548.9)"
"VZS_LIMC","Limmatquai --> Central","","Y2H20083483","4267","Central","","20230727000000","170","1.0000000000","POINT (2683457 1247064.9)"
